IdLieuDit;Libelle;Couleur
1;ARRABIS;536870911
2;BANCANEL;
3;BEAUMESCURE;
4;BELSOT;
5;BESPLOS;
6;BEYRADE DOUCE;
7;BOIS DE LABAT;
8;BOIS DE PREBOSC;
9;BOIS DU COMTE;
10;BOLE BLANQUE;
11;BOMBES;
12;BOUISSAN;
13;BOUISSANS;
14;BOUSIGUETTES;
15;CABALOUZE;
16;CABASSUDES;
17;CABRIEYRES;
18;CAMP DE BAILLOU;
19;CAMP DE FALIP;
20;CAMP DE GLEIZE;
21;CAMP DE LOBRE;
22;CAMP DE ROBERT;
23;CAMP DEL BOUIS;
24;CAMP DEL PLY;
25;CAMP DEL PRIOU;
26;CAMP DEL PY;
27;CAMP DES TRES CAYRES;
28;CAMP DU CADET;
29;CAMP DU LARZAC;
30;CAMP LONG;
31;CAMP ROUX;
32;CAP D`ASE;
33;CAP DE LA BLAQUE;
34;CARBONIES;
35;CASTELMUS;
36;CAVALIES;
37;CHAMP GRAND;
38;CHAMP MALADE;
39;CHAMPS LONGS;
40;CLAUZAL DE LARMAND;
41;CLAUZAL DE L'ARMAND;
42;CLOQUE;
43;COMBE DE BRUNAS;
44;COMBE DU CADE;
45;COMBE DU FOUR;
46;COMBE LONGUE;
47;COMBE REDONDE;
48;COMBEBELLE;
49;COMBEBELLES;
50;COMBEBREN;
51;COMBEGRAND;
52;COMBEJOLS;
53;COMPOLOMON;
54;CONCAGARY;
55;CONGARY;
56;COSTERASTE;
57;COSTEROSTES;
58;COUQUE ROUVIERE;
59;COURTINES;
60;COURVEE;
61;COUSTA DE GARY;
62;CREMADEZOS;
63;DEVEZ DE LA LIGUE;
64;DEVEZ DE LA RAYNELLE;
65;DEVEZ DES BALS;
66;DEVEZ GRAND;
67;EGALIERES;
68;FABREGUES;
69;FON BLANQUE;
70;FON NEUVE;
71;FONBIRBAL;
72;FONDS DE LA BLAQUE;
73;FONFOUILLOUSE;
74;FONTENTIQUE;
75;FONTVIVE;
76;FOUFOUILLOUSE;
77;GUIZOMIE;
78;L`ANGLE;
79;LA BABAROUGE;
80;LA BAUME;
81;LA BEAUMELLE;
82;LA BLAQUE;
83;LA BLAQUIERE;
84;LA BORIE;
85;LA BOUISSEIROLE;
86;LA BOUISSIERE;
87;LA BOUISSIERETTE;
88;LA BOUTEILLE;
89;LA BOUYSSIERE;
90;LA CALADE;
91;LA CAMBIERE;
92;LA CAVALERIE;
93;LA CAVETE;
94;LA COMBASSE;
95;LA COMBE;
96;LA COMBE DE LA GARDE;
97;LA COURDELY;
98;LA COUTELLE;
99;LA DEVEZE;
100;LA DRECH;
101;LA FAVAREDE;
102;LA FAYSSE;
103;LA FAYSSE DE SUS LE;
104;LA FENDEILLE;
105;LA FONDULE;
106;LA GARDETTE;
107;LA GRANDE FAYSSE;
108;LA GUILLETTE;
109;LA LAVAGNE;
110;LA LAVAGNE BLANCHE;
111;LA LAVOGNE;
112;LA MELLIERE;
113;LA MELLIERRE;
114;LA MOUNADE;
115;LA NAUQ;
116;LA PESSE;
117;LA PEYRADE;
118;LA PLANE;
119;LA POUMIERE;
120;LA REYNELLE;
121;LA SALVAGE;
122;LA SALVETAT;
123;LA SARRADE;
124;LA TERRADOUYRE;
125;LA TEYSSERISE;
126;LA TUNE;
127;LA VAYSSIERE;
128;LABEILLE;
129;LABIT;
130;LABRO;
131;LADRECH;
132;LAGASTET;
133;LAGRINADE;
134;LAGUIOLE;
135;LAMAYOU;
136;LAS SOURZIALS;
137;LAS SOUTS;
138;LASJAZENS;
139;LAUMET;
140;L'AVEN DE LA PEUR;
141;LAVENQ;
142;LAYRE NEUVE;
143;LAYROLE;
144;LE BOSC;
145;LE BOUCHE;
146;LE BOUTEILLE;
147;LE CAGNAS DE SERIEYS;
148;LE CAMP ROUCH;
149;LE CAUSSE DES CUNS;
150;LE CENEL;
151;LE CLAUZAL;
152;LE CLAUZELLOU;
153;LE CLAUZOLAS;
154;LE COLOMBIE;
155;LE CONQUAS;
156;LE COUREGE;
157;LE COUSTADET;
158;LE CROS;
159;LE CUN;
160;LE DEVEZ;
161;LE DEVEZ GRAND;
162;LE DEVEZ HAUT;
163;LE DEVEZOU;
164;LE FAUCONNIER;
165;LE FENAYRET;
166;LE FOURCALCIE;
167;LE GRAUFEZE;
168;LE GRESILLAS;
169;LE LAVAGNOL;
170;LE MAS RAZAL;
171;LE MAZET;
172;LE MOUSSAU;
173;LE PARPAILLOU;
174;LE PELLENQ;
175;LE PERTUS;
176;LE PINEL;
177;LE PLANAS;
178;LE PLO;
179;LE POMMIER;
180;LE POUGET;
181;LE POUJOULAS;
182;LE POUS;
183;LE PRAT;
184;LE PRUNIEYRAL;
185;LE PUECH;
186;LE PUECH DU MAS RAZA;
187;LE QUINT;
188;LE RANC;
189;LE RANGRANG;
190;LE ROC ROUGE;
191;LE ROUBE;
192;LE SALTRE;
193;LE SAMBUC;
194;LE SARRALIE;
195;LE SEGALA;
196;LE SEQ;
197;LE SERRE;
198;LE SOT;
199;LE SOURAYROL;
200;LE SOUTET;
201;LE SURGEAL;
202;LE TOURNET;
203;LE TRAVERS DE LA FON;
204;LE TRAVERS DE L'AYRO;
205;LE TREMOUS;
206;LE VERDIE;
207;LES ABENCALS;
208;LES ALASSES;
209;LES ANAUTS;
210;LES ANOUTS;
211;LES AUMIERES;
212;LES AUSSEDATS;
213;LES BARTASSES;
214;LES BARTHES;
215;LES BAUMES;
216;LES BAURIOS;
217;LES BOUISSIERES;
218;LES BOULIERES;
219;LES BOURIMBALDES;
220;LES BOUYSSIERES;
221;LES CABANIERES;
222;LES CALTAYRES;
223;LES CAMPETS;
224;LES CAMPS;
225;LES CAMPS GRANDS;
226;LES CARBONNIERES;
227;LES CARRALS;
228;LES CASALS;
229;LES CAZALOUS;
230;LES CAZELLES;
231;LES CLAPAREDES;
232;LES CLAPASSOUS;
233;LES CLAUSES;
234;LES CLAUZES;
235;LES COMBALETS;
236;LES COMBES;
237;LES COMPASSES;
238;LES CONQUES;
239;LES CONTRATS;
240;LES COURREGES;
241;LES CREMATS;
242;LES CREMAZEDOS;
243;LES CRESSOUS;
244;LES CUSSOUS;
245;LES EFFANTELS;
246;LES ESCLAVONS;
247;LES FAISSES;
248;LES FAYSSATS;
249;LES FAYSSES;
250;LES FICADES;
251;LES FRAYSSES;
252;LES GACHETTES;
253;LES GINESTES SUD;
254;LES GRANAYROUS;
255;LES GRANIES;
256;LES GRAPALDIERES;
257;LES GREZES;
258;LES GRISATS;
259;LES HOMPS;
260;LES JANETTES;
261;LES JASSES;
262;LES JORDIGROSSES;
263;LES LAISSES;
264;LES LAUPIOS;
265;LES LAVAGNES;
266;LES LAVAGNETTES;
267;LES MARES;
268;LES MARRES;
269;LES MENEYROUS;
270;LES MOURADES;
271;LES PARANETTES;
272;LES PARRAS;
273;LES PESSELES;
274;LES PESSELLES;
275;LES PEYRIERES;
276;LES PLACES;
277;LES PLANOLS;
278;LES PLOS;
279;LES POUJOLES;
280;LES PRADETS;
281;LES PUECHS;
282;LES RABASSIERES;
283;LES RAJALOUS;
284;LES RANCAREDES;
285;LES RAZES;
286;LES ROQUES;
287;LES ROUCABELS;
288;LES SABELS;
289;LES SAUDRES;
290;LES SELOUSSES;
291;LES SERRES;
292;LES SOTS;
293;LES TIOULAS;
294;LES TRUELS;
295;LES USCLADES;
296;LES VAYSSAS;
297;LES VAYSSES;
298;LES VAYSSOUZES;
299;LESQUILLOL;
300;LETRAVERS;
301;LIGAL;
302;LISSARTAS;
303;LONGUES ABRITS;
304;LOULETTE;
305;LOULETTE BASSE;
306;LUBAC;
307;MALBOSC;
308;MAS DE RIVIERE;
309;MAURIAC;
310;MONPLO;
311;MONT MERDOUS;
312;MONTAYMAT;
313;MONTPLO;
314;MONTREDON;
315;PARRO DE BLAQUIERE;
316;PARRO LONGUE;
317;PELOUSAS;
318;PEYRE GOZON;
319;PEYREPLANTADE;
320;PLAN POUZAT;
321;PLO D'AYGUE MORTE;
322;PLO DE CAMBOUYS;
323;PLO DE LA MELLIERE;
324;PLO DE LOBRE;
325;PLO DE MISSOU;
326;PLO DEL BLAQUIO;
327;PLO DEL BOSC;
328;PORTES DE REVEL;
329;PUECH BERTRAND;
330;PUECH BLACOUS;
331;PUECH BOURREL;
332;PUECH DE BOUYO;
333;PUECH DE BRAUME;
334;PUECH DE LA BINSO;
335;PUECH DE LA CROUX;
336;PUECH DE LA LAVAGNE;
337;PUECH DE MONTREDON;
338;PUECH DEL BOUYS;
339;PUECH DES MIOLLES;
340;PUECH DU DEVEZ;
341;PUECH FOREZ;
342;PUECH GREZAL;
343;PUECH POUNCHUT;
344;PUECH ROUCOUS ET PEY;
345;PUECH ROUSSET;
346;RAJAL DEL GORP;
347;RAJAL DES CERISIERS;
348;RAJAL DES GORPS;
349;RANC DES GARS;
350;REDOULES;
351;RENOUSES;
352;ROC AYMA;
353;ROC DE LA LIGUE;
354;ROC POUNCHUT;
355;ROC TRAUCAT;
356;ROCS DU BARTHAS;
357;RON DE GUINET;
358;ROQUE CAYLUS;
359;ROQUE COURBE;
360;ROUQUET BLANC;
361;ROUQUIES;
362;ROUTAOUS;
363;SAINT SAUVEUR;
364;SEGALA DU TEMPLE;
365;SERRE DE CABRIERES;
366;SERRE DE CABRIERRES;
367;SERRE DE L`AZE;
368;SERRE DE LA BAUME;
369;SERRE DE LA BORIE;
370;SERRE DE LA QUILLE;
371;SERRE DE LA TUNE;
372;SERRE DE LAS SOUTS;
373;SERRE DE LERME;
374;SERRE DE MALBOSC;
375;SERRE DE QUINCAUREIL;
376;SERRE DE RICARD;
377;SERRE DES ARETS;
378;SERRE DES GREZES;
379;SERRE DU MAZEL;
380;SERRE DU PENDU;
381;SERRES DES ARETS;
382;SOT BOUYSSOUNOUS;
383;SOT DE LA CONQUE;
384;SOT DEL BONNET;
385;SOT MOULIS;
386;SOUPAURE;
387;SOUQUE NEGRE;
388;ST MARTIN DU LARZAC;
389;ST SAUVEUR;
390;STE CATHERINE;
391;TERNESQUES;
392;TRALS CLAUX;
393;TRAVERS DE CLAPADE;
394;TRAVERS DE COMBECROI;
395;TRAVERS DE GARY;
396;TRAVERS DE GOUYRIPHO;
397;TRAVERS DE LA FON;
398;TRAVERS DE LA FONT;
399;TRAVERS DES NAUQUES;
400;TRAVERS DU PUECH RAM;
401;TRAVERSIERES;
402;TRAVERSIÃˆRES;
403;VENTO QUIOULS;
